ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
318,AVELUJ_clean,AVELUJ_clean,2.821249204,2.171173244,0.65007596,3.762942233,1.126671164,1.733137715,4826.97998,0.90268,8.10638,4.88927,8.10638,747.29797,1548.17004,1715.07996,2928.23999,0.60664,0.67204,Ni,Yes,Ni
319,AVEMAQ_clean,AVEMAQ_clean,2.493851484,2.253839316,0.240012167,3.94695405,0.42031257,1.751213594,4802.56006,0.90727,7.89565,4.97897,7.87662,743.57898,1548.30005,1706.55005,2915.62988,0.6071,0.66915,Ni,Yes,Ni
320,AVEQID_clean,AVEQID_clean,3.691052888,2.140143014,1.550909874,4.331980028,3.13928114,2.024154461,4535.2998,0.80125,7.54994,6.22752,7.22874,943.71198,2080.82007,2596.94995,3231.48999,0.71252,0.88925,Zn,Yes,Zn
325,AVIHIY_clean,AVIHIY_clean,3.125396695,2.351302342,0.774094353,2.361224491,0.777360917,1.004219853,1524.26001,1.62124,6.88379,6.45442,6.88379,210.646,1381.95996,852.40698,869.19501,0.57024,0.35173,Ho,No, 
326,AVIHOE_clean,AVIHOE_clean,2.85529769,2.291390307,0.563907384,2.392669393,0.588832,1.044199841,1502.18994,1.66276,6.82367,6.45553,6.82367,208.985,1391.19995,836.67798,848.75299,0.56501,0.3398,Tm,No, 
327,AVIMIC_clean,AVIMIC_clean,3.55494475,3.19964648,0.35529827,0.849050175,0.094281059,0.265357495,2927.05005,1.51867,5.83174,5.68454,5.8285,150.576,514.42902,338.73599,1210.13,0.41343,0.27223,Zn,No, 
330,AVIPAX_clean,AVIPAX_clean,6.924636348,2.272735809,4.651900539,1.964031986,4.020036739,0.864170828,3915.96997,0.96381,7.26399,5.25081,7.26386,657.24902,1678.38,1741.40002,2341.70996,0.59799,0.62044,Mg,Yes,Mg
331,AVIPOL_clean,AVIPOL_clean,4.258627406,2.17761038,2.081017026,3.0230661,2.888970444,1.388249307,2679.17993,0.93916,6.57451,5.5873,6.57451,391.17401,1460.05005,1554.64001,1631.45996,0.60894,0.64839,Mg,Yes,Mg
332,AVITUU_clean,AVITUU_clean,1.979800952,1.802876571,0.176924381,5.421987026,0.532083956,3.007408889,17043.3007,0.7109,11.69294,6.93274,11.69294,2534.16992,1486.90002,2091.56006,11819.7002,0.69351,0.97553,Cu,No, 
333,AVIVAC_clean,AVIVAC_clean,2.019648514,1.829708895,0.189939619,5.022854615,0.521415782,2.745165982,18049.0996,0.73653,11.84006,7.39815,11.84006,2686.01001,1488.17004,2020.51001,12691.2002,0.70315,0.95468,Ag,Yes,Ag
334,AVIVEG_clean,AVIVEG_clean,2.042453709,1.861820838,0.180632871,5.155325805,0.500166979,2.768969871,18135,0.73304,11.84801,7.36492,11.84801,2706.93994,1492.66003,2036.26001,12798.2002,0.70572,0.96273,Ag,Yes,Ag
335,AVIVIK_clean,AVIVIK_clean,2.10915488,1.91080401,0.198350869,5.204401751,0.54024254,2.723671147,18104.1992,0.73429,11.79938,6.70311,11.79938,2791.44995,1541.88,2099.83008,12741.5996,0.70379,0.95847,Ag,Yes,Ag
336,AVIVOQ_clean,AVIVOQ_clean,2.10076498,1.910701129,0.190063852,5.344770931,0.531662297,2.797282553,18746.1992,0.70914,11.94166,7.13512,11.94166,2939.8501,1568.23999,2211.45996,13397.2002,0.71466,1.00778,Ag,Yes,Ag
337,AVIVUW_clean,AVIVUW_clean,1.932276153,1.747037555,0.185238599,5.105079786,0.541292214,2.922135115,18216.0996,0.72978,12.04076,6.91892,12.04076,2788.43994,1530.76001,2097.56006,12864.4003,0.70621,0.9677,Ag,Yes,Ag
338,AVOSIO_charged,AVOSIO_charged,6.866474991,1.865765832,5.000709158,0.963435355,2.582242596,0.516375281,7088.60986,1.06031,10.84161,9.61852,10.84161,769.73999,1085.88,1024.12,4060.28003,0.57279,0.54021,"Sb,Ag",Yes,Ag
339,AVUCEA_clean,AVUCEA_clean,7.629050804,2.098876578,5.530174226,2.118304916,5.581364515,1.009256542,17797.4003,0.89363,10.64181,4.52481,5.22943,3448.91992,1937.87,2168.54004,11889.2002,0.66803,0.74755,Co,Yes,Co
